Timestep,VPP Power
1,10.000000
2,10.000000
3,10.000000
4,10.000000
5,10.000000
6,10.000000
7,10.000000
8,10.000000
9,10.000000
10,10.000000
11,10.000000
12,10.000000
13,10.000000
14,10.000000
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,0.000000
20,0.000000
21,0.000000
22,0.000000
23,0.000000
24,0.000000
25,0.000000
26,0.000000
27,0.000000
28,0.000000
29,0.000000
30,10.000000
31,10.000000
32,10.000000
33,10.000000
34,10.000000
35,10.000000
36,10.000000
37,10.000000
38,10.000000
39,10.000000
40,10.000000
41,10.000000
42,10.000000
43,10.000000
44,10.000000
45,0.000000
46,0.000000
47,0.000000
48,0.000000
49,0.000000
50,0.000000
51,0.000000
52,0.000000
53,0.000000
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,0.000000
59,0.000000
60,10.000000
61,10.000000
62,10.000000
63,10.000000
64,10.000000
65,10.000000
66,10.000000
67,10.000000
68,10.000000
69,10.000000
70,10.000000
71,10.000000
72,10.000000
73,10.000000
74,10.000000
75,0.000000
76,0.000000
77,0.000000
78,0.000000
79,0.000000
80,0.000000
81,0.000000
82,0.000000
83,0.000000
84,0.000000
85,0.000000
86,0.000000
87,0.000000
88,0.000000
89,10.000000
90,10.000000
91,10.000000
92,10.000000
93,10.000000
94,10.000000
95,10.000000
96,10.000000
97,10.000000
98,10.000000
99,10.000000
100,10.000000
