Time,E,EMax,P,PMax,PForced,Agility
1,0.0,6.837742,0.0,0.97682,0.0,91.999999971
2,0.0,6.837742,0.0,0.97682,0.0,90.999999971
3,0.0,6.837742,0.0,0.97682,0.0,89.999999971
4,0.0,6.837742,0.0,0.97682,0.0,88.999999971
5,0.0,6.837742,0.0,0.97682,0.0,87.999999971
6,0.0,6.837742,0.0,0.97682,0.0,86.999999971
7,0.0,6.837742,0.0,0.97682,0.0,85.999999971
8,0.0,6.837742,0.0,0.97682,0.0,84.999999971
9,0.0,6.837742,0.0,0.97682,0.0,83.999999971
10,0.0,6.837742,0.97682,0.97682,0.0,82.999999971
11,0.97682,6.837742,0.97682,0.97682,0.97682,81.999999971
12,1.95364,6.837742,0.97682,0.97682,0.97682,80.999999971
13,2.93046,6.837742,0.97682,0.97682,0.97682,79.999999971
14,3.90728,6.837742,0.97682,0.97682,0.97682,78.999999971
15,4.8841,6.837742,0.97682,0.97682,0.97682,77.999999971
16,5.86092,6.837742,0.97682,0.97682,0.97682,76.999999971
17,6.83774,6.837742,2.000000000279556e-06,0.97682,2.000000000279556e-06,75.999999971
18,6.837742,6.837742,0.0,0.97682,0.0,74.999999971
19,6.837742,6.837742,0.0,0.97682,0.0,73.999999971
20,6.837742,6.837742,0.0,0.97682,0.0,72.999999971
21,6.837742,6.837742,0.0,0.97682,0.0,71.999999971
22,6.837742,6.837742,0.0,0.97682,0.0,70.999999971
23,6.837742,6.837742,0.0,0.97682,0.0,69.999999971
24,6.837742,6.837742,0.0,0.97682,0.0,68.999999971
25,6.837742,6.837742,0.0,0.97682,0.0,67.999999971
26,6.837742,6.837742,0.0,0.97682,0.0,66.999999971
27,6.837742,6.837742,0.0,0.97682,0.0,65.999999971
28,6.837742,6.837742,0.0,0.97682,0.0,64.999999971
29,6.837742,6.837742,0.0,0.97682,0.0,63.999999971
30,6.837742,6.837742,0.0,0.97682,0.0,62.999999971
31,6.837742,6.837742,0.0,0.97682,0.0,61.999999971
32,6.837742,6.837742,0.0,0.97682,0.0,60.999999971
33,6.837742,6.837742,0.0,0.97682,0.0,59.999999971
34,6.837742,6.837742,0.0,0.97682,0.0,58.999999971
35,6.837742,6.837742,0.0,0.97682,0.0,57.999999971
36,6.837742,6.837742,0.0,0.97682,0.0,56.999999971
37,6.837742,6.837742,0.0,0.97682,0.0,55.999999971
38,6.837742,6.837742,0.0,0.97682,0.0,54.999999971
39,6.837742,6.837742,0.0,0.97682,0.0,53.999999971
40,6.837742,6.837742,0.0,0.97682,0.0,52.999999971
41,6.837742,6.837742,0.0,0.97682,0.0,51.999999971
42,6.837742,6.837742,0.0,0.97682,0.0,50.999999971
43,6.837742,6.837742,0.0,0.97682,0.0,49.999999971
44,6.837742,6.837742,0.0,0.97682,0.0,48.999999971
45,6.837742,6.837742,0.0,0.97682,0.0,47.999999971
46,6.837742,6.837742,0.0,0.97682,0.0,46.999999971
47,6.837742,6.837742,0.0,0.97682,0.0,45.999999971
48,6.837742,6.837742,0.0,0.97682,0.0,44.999999971
49,6.837742,6.837742,0.0,0.97682,0.0,43.999999971
50,6.837742,6.837742,0.0,0.97682,0.0,42.999999971
51,6.837742,6.837742,0.0,0.97682,0.0,41.999999971
52,6.837742,6.837742,0.0,0.97682,0.0,40.999999971
53,6.837742,6.837742,0.0,0.97682,0.0,39.999999971
54,6.837742,6.837742,0.0,0.97682,0.0,38.999999971
55,6.837742,6.837742,0.0,0.97682,0.0,37.999999971
56,6.837742,6.837742,0.0,0.97682,0.0,36.999999971
57,6.837742,6.837742,0.0,0.97682,0.0,35.999999971
58,6.837742,6.837742,0.0,0.97682,0.0,34.999999971
59,6.837742,6.837742,0.0,0.97682,0.0,33.999999971
60,6.837742,6.837742,0.0,0.97682,0.0,32.999999971
61,6.837742,6.837742,0.0,0.97682,0.0,31.999999971
62,6.837742,6.837742,0.0,0.97682,0.0,30.999999971
63,6.837742,6.837742,0.0,0.97682,0.0,29.999999971
64,6.837742,6.837742,0.0,0.97682,0.0,28.999999971
65,6.837742,6.837742,0.0,0.97682,0.0,27.999999971
66,6.837742,6.837742,0.0,0.97682,0.0,26.999999971
67,6.837742,6.837742,0.0,0.97682,0.0,25.999999971
68,6.837742,6.837742,0.0,0.97682,0.0,24.999999971
69,6.837742,6.837742,0.0,0.97682,0.0,23.999999971
70,6.837742,6.837742,0.0,0.97682,0.0,22.999999971
71,6.837742,6.837742,0.0,0.97682,0.0,21.999999971
72,6.837742,6.837742,0.0,0.97682,0.0,20.999999971
73,6.837742,6.837742,0.0,0.97682,0.0,19.999999971
74,6.837742,6.837742,0.0,0.97682,0.0,18.999999971
75,6.837742,6.837742,0.0,0.97682,0.0,17.999999971
76,6.837742,6.837742,0.0,0.97682,0.0,16.999999971
77,6.837742,6.837742,0.0,0.97682,0.0,15.999999971
78,6.837742,6.837742,0.0,0.97682,0.0,14.999999971
79,6.837742,6.837742,0.0,0.97682,0.0,13.999999971
80,6.837742,6.837742,0.0,0.97682,0.0,12.999999971
81,6.837742,6.837742,0.0,0.97682,0.0,11.999999971
82,6.837742,6.837742,0.0,0.97682,0.0,10.999999971
83,6.837742,6.837742,0.0,0.97682,0.0,9.999999971
84,6.837742,6.837742,0.0,0.97682,0.0,8.999999971
85,6.837742,6.837742,0.0,0.97682,0.0,7.999999971
86,6.837742,6.837742,0.0,0.97682,0.0,6.999999971
87,6.837742,6.837742,0.0,0.97682,0.0,5.999999971
88,6.837742,6.837742,0.0,0.97682,0.0,4.999999971
89,6.837742,6.837742,0.0,0.97682,0.0,3.999999971
90,6.837742,6.837742,0.0,0.97682,0.0,2.999999971
91,6.837742,6.837742,0.0,0.97682,0.0,1.999999971
92,6.837742,6.837742,0.0,0.97682,0.0,0.999999971
93,6.837742,6.837742,0.0,0.97682,0.0,-2.9e-08
94,6.837742,6.837742,0.0,0.97682,0.0,-1.000000029
95,6.837742,6.837742,0.0,0.97682,0.0,-2.000000029
96,6.837742,6.837742,0.0,0.97682,0.0,-3.000000029
97,6.837742,6.837742,0.0,0.97682,0.0,-4.000000029
98,6.837742,6.837742,0.0,0.97682,0.0,-5.000000029
99,6.837742,6.837742,0.0,0.97682,0.0,-6.000000029
100,6.837742,6.837742,0.0,0.97682,0.0,-7.000000029
