Timestep,Residual,Pbak,Pbat,PBkt,VppOut
1,1.7763568394002505e-15,7.547328,2.4526719999999984,0.0,10.0
2,1.7763568394002505e-15,8.993934999999999,1.006064999999999,0.0,10.0
3,1.7763568394002505e-15,8.993934999999999,1.0060649999999995,0.0,10.0
4,1.7763568394002505e-15,8.993934999999999,1.0060649999999989,0.0,10.0
5,1.7763568394002505e-15,8.993934999999999,1.006065,0.0,10.0
6,1.7763568394002505e-15,8.993934999999999,1.0060649999999995,0.0,10.0
7,1.7763568394002505e-15,8.993934999999999,1.0060650000000004,0.0,10.0
8,0.0,8.993922999999999,1.0060770000000003,0.0,10.0
9,-1.7763568394002505e-15,8.971385000000001,1.0286150000000003,0.0,10.0
10,-1.7763568394002505e-15,9.954223000000004,0.045776999999997514,0.0,10.0
11,0.0,9.670793999999999,0.329206000000001,0.0,10.0
12,0.0,9.670793,0.32920700000000025,0.0,10.0
13,0.0,9.670793,0.32920700000000025,0.0,10.0
14,0.0,9.670793,0.32920700000000025,0.0,10.0
15,-4.6707909999999995,9.670791,0.0,-5.0,0.0
16,0.0,4.7430720000000015,0.0,-4.7430720000000015,0.0
17,0.0,0.9610890000000004,0.0,-0.9610890000000004,0.0
18,0.0,2.9999999995311555e-06,0.0,-2.9999999995311555e-06,0.0
19,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0
27,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0
30,-8.881784197001252e-16,3.694223,6.305777000000001,0.0,10.0
31,0.0,3.694223,6.305777,0.0,10.0
32,8.881784197001252e-16,3.694223,6.305776999999999,0.0,10.0
33,-1.7763568394002505e-15,7.205672,2.7943280000000015,0.0,10.0
34,0.0,9.855328,0.1446719999999999,0.0,10.0
35,0.0,9.855328,0.1446719999999999,0.0,10.0
36,0.0,9.855324,0.14467600000000047,0.0,10.0
37,1.7763568394002505e-15,9.348539999999998,0.6514600000000002,0.0,10.0
38,1.7763568394002505e-15,9.348534999999998,0.651465,0.0,10.0
39,0.0,9.326180000000003,0.6738199999999974,0.0,10.0
40,0.0,6.676524,3.3234760000000003,0.0,10.0
41,0.0,6.67652,3.32348,0.0,10.0
42,8.881784197001252e-16,6.676516,3.3234839999999983,0.0,10.0
43,0.0,3.489091,6.510909,0.0,10.0
44,-4.440892098500626e-16,3.489087,6.510913,0.0,10.0
45,0.0,3.000000000419334e-06,0.0,-3.000000000419334e-06,0.0
46,0.0,0.0,0.0,0.0,0.0
47,0.0,0.0,0.0,0.0,0.0
48,0.0,0.0,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0
50,0.0,0.0,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0
53,0.0,0.0,0.0,0.0,0.0
54,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0
56,0.0,0.0,0.0,0.0,0.0
57,0.0,0.0,0.0,0.0,0.0
58,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0
60,0.0,3.613156,6.386844,0.0,10.0
61,8.881784197001252e-16,4.443239,5.556760999999999,0.0,10.0
62,0.0,4.443239,5.556761,0.0,10.0
63,0.0,4.443239,5.556761,0.0,10.0
64,-1.7763568394002505e-15,4.443237,5.556763000000002,0.0,10.0
65,-7.771561172376096e-16,0.8300849999999994,9.169915000000001,0.0,10.0
66,1.7763568394002505e-15,2.000000000279556e-06,9.999997999999998,0.0,10.0
67,1.7763568394002505e-15,0.0,9.999999999999998,0.0,10.0
68,1.7763568394002505e-15,0.0,9.999999999999998,0.0,10.0
69,0.0,0.0,10.0,0.0,10.0
70,0.0,0.0,10.0,0.0,10.0
71,1.7763568394002505e-15,0.0,9.999999999999998,0.0,10.0
72,0.0,0.0,10.0,0.0,10.0
73,0.0,0.0,10.0,0.0,10.0
74,-1.7763568394002505e-15,0.0,10.000000000000002,0.0,10.0
75,0.0,0.0,0.0,0.0,0.0
76,0.0,0.0,0.0,0.0,0.0
77,0.0,0.0,0.0,0.0,0.0
78,0.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0,0.0
82,0.0,0.0,0.0,0.0,0.0
83,0.0,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0,0.0
86,0.0,0.0,0.0,0.0,0.0
87,0.0,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0,0.0
89,0.0,0.0,10.0,0.0,10.0
90,0.0,0.0,10.0,0.0,10.0
91,0.0,0.0,10.0,0.0,10.0
92,-1.7763568394002505e-15,0.0,10.000000000000002,0.0,10.0
93,1.7763568394002505e-15,0.0,9.999999999999998,0.0,10.0
94,3.552713678800501e-15,0.0,9.999999999999996,0.0,10.0
95,3.3445519999999904,0.0,1.1263820000000102,5.529065999999999,10.0
96,4.470934000000001,0.0,0.0,5.529065999999999,10.0
97,4.470934000000001,0.0,0.0,5.529065999999999,10.0
98,4.470934000000001,0.0,0.0,5.529065999999999,10.0
99,4.470934000000001,0.0,0.0,5.529065999999999,10.0
100,5.499609000000001,0.0,0.0,4.500390999999999,10.0
